# Sweep Manifest - 500 expected runs (2 boundaries Ã— 5 modes Ã— 50 seeds)
# Format: boundary,mode,seed,status,path

zero,object_off_tracked,7,OK,outputs_sweep50\object_off_tracked_zero_seed7\metrics.csv
zero,passive_nopersist,7,OK,outputs_sweep50\passive_nopersist_zero_seed7\metrics.csv
zero,passive_persist,7,OK,outputs_sweep50\passive_persist_zero_seed7\metrics.csv
zero,active_persist,7,OK,outputs_sweep50\active_persist_zero_seed7\metrics.csv
zero,active_random,7,OK,outputs_sweep50\active_random_zero_seed7\metrics.csv
wrap,object_off_tracked,7,OK,outputs_sweep50\object_off_tracked_wrap_seed7\metrics.csv
wrap,passive_nopersist,7,OK,outputs_sweep50\passive_nopersist_wrap_seed7\metrics.csv
wrap,passive_persist,7,OK,outputs_sweep50\passive_persist_wrap_seed7\metrics.csv
wrap,active_persist,7,OK,outputs_sweep50\active_persist_wrap_seed7\metrics.csv
wrap,active_random,7,OK,outputs_sweep50\active_random_wrap_seed7\metrics.csv
zero,object_off_tracked,8,OK,outputs_sweep50\object_off_tracked_zero_seed8\metrics.csv
zero,passive_nopersist,8,OK,outputs_sweep50\passive_nopersist_zero_seed8\metrics.csv
zero,passive_persist,8,OK,outputs_sweep50\passive_persist_zero_seed8\metrics.csv
zero,active_persist,8,OK,outputs_sweep50\active_persist_zero_seed8\metrics.csv
zero,active_random,8,OK,outputs_sweep50\active_random_zero_seed8\metrics.csv
wrap,object_off_tracked,8,OK,outputs_sweep50\object_off_tracked_wrap_seed8\metrics.csv
wrap,passive_nopersist,8,OK,outputs_sweep50\passive_nopersist_wrap_seed8\metrics.csv
wrap,passive_persist,8,OK,outputs_sweep50\passive_persist_wrap_seed8\metrics.csv
wrap,active_persist,8,OK,outputs_sweep50\active_persist_wrap_seed8\metrics.csv
wrap,active_random,8,OK,outputs_sweep50\active_random_wrap_seed8\metrics.csv
zero,object_off_tracked,9,OK,outputs_sweep50\object_off_tracked_zero_seed9\metrics.csv
zero,passive_nopersist,9,OK,outputs_sweep50\passive_nopersist_zero_seed9\metrics.csv
zero,passive_persist,9,OK,outputs_sweep50\passive_persist_zero_seed9\metrics.csv
zero,active_persist,9,OK,outputs_sweep50\active_persist_zero_seed9\metrics.csv
zero,active_random,9,OK,outputs_sweep50\active_random_zero_seed9\metrics.csv
wrap,object_off_tracked,9,OK,outputs_sweep50\object_off_tracked_wrap_seed9\metrics.csv
wrap,passive_nopersist,9,OK,outputs_sweep50\passive_nopersist_wrap_seed9\metrics.csv
wrap,passive_persist,9,OK,outputs_sweep50\passive_persist_wrap_seed9\metrics.csv
wrap,active_persist,9,OK,outputs_sweep50\active_persist_wrap_seed9\metrics.csv
wrap,active_random,9,OK,outputs_sweep50\active_random_wrap_seed9\metrics.csv
zero,object_off_tracked,10,OK,outputs_sweep50\object_off_tracked_zero_seed10\metrics.csv
zero,passive_nopersist,10,OK,outputs_sweep50\passive_nopersist_zero_seed10\metrics.csv
zero,passive_persist,10,OK,outputs_sweep50\passive_persist_zero_seed10\metrics.csv
zero,active_persist,10,OK,outputs_sweep50\active_persist_zero_seed10\metrics.csv
zero,active_random,10,OK,outputs_sweep50\active_random_zero_seed10\metrics.csv
wrap,object_off_tracked,10,OK,outputs_sweep50\object_off_tracked_wrap_seed10\metrics.csv
wrap,passive_nopersist,10,OK,outputs_sweep50\passive_nopersist_wrap_seed10\metrics.csv
wrap,passive_persist,10,OK,outputs_sweep50\passive_persist_wrap_seed10\metrics.csv
wrap,active_persist,10,OK,outputs_sweep50\active_persist_wrap_seed10\metrics.csv
wrap,active_random,10,OK,outputs_sweep50\active_random_wrap_seed10\metrics.csv
zero,object_off_tracked,11,OK,outputs_sweep50\object_off_tracked_zero_seed11\metrics.csv
