name,mean_core_size,mean_persist_iou,mean_core_jaccard_prev,mean_core_size_delta,mean_identity_run_len,mean_identity_score,mean_observer_action_rate,final_core_size,final_persist_iou,final_core_jaccard_prev,final_core_size_delta,final_identity_score,total_identity_breaks
object_off_tracked_fixed0_seed0,2368.826666666667,-1.0,0.6671842817586546,1503.6,74.5,0.6671842817586546,0.0,555.0,-1.0,0.3063063063063063,-298.0,0.3063063063063063,1.0
passive_nopersist_fixed0_seed0,7.533333333333333,-1.0,0.0025378787878787877,2.493333333333333,0.006666666666666667,0.0025378787878787877,0.0,2.0,-1.0,0.0,0.0,0.0,149.0
passive_persist_fixed0_seed0,339.2733333333333,0.6794830125816073,0.08827643786815173,140.2,6.546666666666667,0.686149679248274,0.0,48.0,0.5141643059490085,0.04263565891472868,-143.0,0.5141643059490085,19.0
active_persist_fixed0_seed0,397.9866666666667,0.72106783980961,0.10311839917439639,-227.18666666666667,9.386666666666667,0.7277345064762766,0.049671292914536154,531.0,0.8775894538606404,0.16971916971916973,-112.0,0.8775894538606404,15.0
object_off_tracked_wrap_seed0,2368.826666666667,-1.0,0.6671842817586546,1503.6,74.5,0.6671842817586546,0.0,555.0,-1.0,0.3063063063063063,-298.0,0.3063063063063063,1.0
passive_nopersist_wrap_seed0,7.533333333333333,-1.0,0.0025378787878787877,2.493333333333333,0.006666666666666667,0.0025378787878787877,0.0,2.0,-1.0,0.0,0.0,0.0,149.0
passive_persist_wrap_seed0,339.2733333333333,0.6794830125816073,0.08827643786815173,140.2,6.546666666666667,0.686149679248274,0.0,48.0,0.5141643059490085,0.04263565891472868,-143.0,0.5141643059490085,19.0
active_persist_wrap_seed0,397.9866666666667,0.72106783980961,0.10311839917439639,-227.18666666666667,9.386666666666667,0.7277345064762766,0.049671292914536154,531.0,0.8775894538606404,0.16971916971916973,-112.0,0.8775894538606404,15.0
