tag,boundary_mode,observer_mode,mode,seed,final_identity_score,mean_identity_score,final_core_size_delta,mean_recovery_150_250,mean_observer_action_rate
active_persist_zero_seed4,zero,active_persist,active_persist,4,0.2540861812778603,0.6975056374025334,227.0,-81.66,0.049671292914536154
active_random_zero_seed4,zero,active_random,active_random,4,0.01639344262295082,0.00013731268456921837,-3.0,5.94,0.049671292914536154
object_off_tracked_wrap_seed4,wrap,object_off_tracked,object_off_tracked,4,0.9885386819484241,0.6260813964806113,-136.0,1583.97,0.0
passive_nopersist_wrap_seed4,wrap,passive_nopersist,passive_nopersist,4,0.0,2.0876826722338206e-05,8.0,14.06,0.0
passive_persist_wrap_seed4,wrap,passive_persist,passive_persist,4,0.9978813559322034,0.6854196097271189,339.0,182.76,0.0
active_persist_wrap_seed4,wrap,active_persist,active_persist,4,0.8636363636363636,0.6877941726243139,-267.0,-23.74,0.049671292914536154
active_random_wrap_seed4,wrap,active_random,active_random,4,0.0,7.230682531082426e-05,-8.0,3.19,0.049671292914536154
object_off_tracked_zero_seed5,zero,object_off_tracked,object_off_tracked,5,0.08494718309859155,0.6498067787658356,4016.0,1935.82,0.0
passive_nopersist_zero_seed5,zero,passive_nopersist,passive_nopersist,5,0.0,0.0003266437389926856,-3.0,5.27,0.0
passive_persist_zero_seed5,zero,passive_persist,passive_persist,5,0.9984,0.6918858921048228,262.0,-33.8,0.0
active_persist_zero_seed5,zero,active_persist,active_persist,5,0.9345794392523364,0.7144397568376206,-249.0,19.73,0.049671292914536154
active_random_zero_seed5,zero,active_random,active_random,5,0.0,0.0005708003779708614,-5.0,16.46,0.049671292914536154
object_off_tracked_wrap_seed5,wrap,object_off_tracked,object_off_tracked,5,0.44947735191637633,0.5967046470914809,-3389.0,-2563.93,0.0
passive_nopersist_wrap_seed5,wrap,passive_nopersist,passive_nopersist,5,0.0,0.00014261105335736213,-7.0,9.14,0.0
passive_persist_wrap_seed5,wrap,passive_persist,passive_persist,5,0.6065989847715736,0.6753673982530312,-221.0,-282.72,0.0
active_persist_wrap_seed5,wrap,active_persist,active_persist,5,0.6778242677824268,0.6985446460284275,-49.0,281.67,0.049671292914536154
active_random_wrap_seed5,wrap,active_random,active_random,5,0.0,0.0005417608714995771,1.0,4.85,0.049671292914536154
object_off_tracked_zero_seed6,zero,object_off_tracked,object_off_tracked,6,0.9971910112359551,0.6528518954244945,823.0,209.25,0.0
passive_nopersist_zero_seed6,zero,passive_nopersist,passive_nopersist,6,0.0,0.0002997830106837888,-19.0,-6.72,0.0
passive_persist_zero_seed6,zero,passive_persist,passive_persist,6,0.8226600985221675,0.7108066490244903,21.0,177.57,0.0
active_persist_zero_seed6,zero,active_persist,active_persist,6,0.9096774193548387,0.7032951467168171,-379.0,-170.05,0.049671292914536154
active_random_zero_seed6,zero,active_random,active_random,6,0.0,0.0010262201101497515,3.0,18.21,0.049671292914536154
object_off_tracked_wrap_seed6,wrap,object_off_tracked,object_off_tracked,6,0.725752508361204,0.5973169193340171,-1440.0,233.4,0.0
passive_nopersist_wrap_seed6,wrap,passive_nopersist,passive_nopersist,6,0.0,0.0005415266818039287,0.0,4.93,0.0
passive_persist_wrap_seed6,wrap,passive_persist,passive_persist,6,0.3567921440261866,0.6851289367719736,367.0,100.64,0.0
active_persist_wrap_seed6,wrap,active_persist,active_persist,6,0.4678362573099415,0.6739032538075058,381.0,187.03,0.049671292914536154
active_random_wrap_seed6,wrap,active_random,active_random,6,0.004524886877828055,0.00032617467277027936,-4.0,6.96,0.049671292914536154
object_off_tracked_zero_seed7,zero,object_off_tracked,object_off_tracked,7,0.1815800960279354,0.6384580859675762,2421.0,89.93,0.0
